pokemon_id,pokemon_name,gen_number,base_hp,base_attack,base_defense,base_sp_attack,base_sp_def,base_speed,description,evolution
41,Zubat,1,40,45,35,30,40,55,"Zubat is a blue, chiropteran Pokémon . While it lacks eyes, it has pointed ears with purple insides and a mouth with two sharp teeth on each jaw. A male will have larger fangs than a female. It has purple wing membranes supported by two elongated fingers and two long, thin legs without feet. Zubat lives in abundance in dark caves , although it has also been known to dwell in forests and under the eaves of old buildings. Due to its habitat, Zubat has evolved to have neither eyes nor nostrils. It instead navigates through dark environments and tight caves with echolocation , emitting ultrasonic cries to detect targets and obstacles. The frequency of these cries can vary slightly between Zubat colonies. As demonstrated in the Pokémon the Series episode Clefairy and the Moon Stone , it will leave its abode at night with a mass of other Zubat to seek prey. Zubat is nocturnal and sleeps hanging upside down during the daytime, avoiding sunlight at all costs. Daylight causes Zubat to become unhealthy; prolonged exposure can even burn its skin. However, captured and trained Zubat have been recorded as much more tenacious in the daytime, even when directly exposed to sunbeams. While sleeping, or in colder conditions, Zubat gathers for warmth with others of its kind.","Zubat evolves into Golbat , which evolves into Crobat ."
75,Graveler,1,55,95,115,45,45,35,"Graveler is a bipedal, boulder Pokémon . Its round body is covered with small bumps and it has a rocky crest above its small eyes and mouth. It has four arms, each with a three-fingered hand. Its second pair of arms is typically kept tucked against its chest. It was shown in Pokémon Snap that, despite having legs, it can revert to a legless form. This grants it the ability to float. Graveler's preferred locomotion is rolling, as it is a slow walker. It often rolls down mountain paths at high speeds exceeding 60 mph (96.56 km/h), crushing objects in the way and stopping by running into huge rocks should it build up too much speed. It does not pay attention to obstacles, so it may potentially harm hikers as it rolls. However, it will explode if it rolls into a river. Graveler is known to be generally free and uncaring, not minding if pieces of itself break off since they can regrow over time. It climbs a mountain from base to summit, feasting on rocks all the while. Graveler's favorite food is moss-covered rocks, regularly consumming tons of them and making loud noises while eating. Upon reaching the peak, it rolls down to the bottom. Graveler live in horizontal holes that they gouge out in sheer cliff faces , and they are capable of withstanding volcanic temperatures. As mentioned in Pokémon Sleep , Graveler is known to rock back and forth while sleeping. It is believed that it dreams about rolling down hilly paths.",Graveler evolves from Geodude and evolves into Golem .
82,Magneton,1,50,60,95,120,70,70,"Magneton is a robot-like Pokémon , the result of three Magnemite becoming linked together by a strong magnetic force, although a single Magnemite can evolve by itself when there are no other Magnemite in the vicinity. Each individual Magnemite has a gray spherical body with a single eye, and a gray and red-and-blue tipped horseshoe magnet on each side. The topmost Magnemite has three Phillips head screws on its body, while the others appear to have only two. The three Magnemite that Magneton consists of can be linked in several ways. Magneton is most commonly seen as one Magnemite on top, and two Magnemite linked by the screws on the bottom, forming a triangle. In some cases, commonly seen in 3D games such as Pokémon Snap , the Magnemite will not be connected at all, remain in a triangular formation at rest, and are able to freely move within each other's vicinity to form other patterns. In this case, all three Magnemite have three screws. The magnetic forces that hold the three Magnemite together are powerful enough to dry up all moisture and raise the temperature by 3.6 °F (2 °C) within a radius of 3,300 feet (one kilometer). It can also be disruptive to electronic devices and induce earaches. It uses powerful radio waves to help it study the surrounding area. Magneton's anti-gravitational powers enable it to fly through the air. Being composed of three Magnemite, it is about three times as powerful electrically, though not three times as intelligent. Even though Magneton is a mechanical creature, it still needs to eat. As seen in the Pokémon the Series episode The Poké Spokesman , food for Magneton consists of electrical currents. It is usually found in rough terrain , often near power plants . When sunspots flare up, Magneton tends to appear more often, presumably due to the changes in the sun's magnetic field. When rain clouds form, it also gathers in high areas prone to lightning strikes. As seen in the eleventh chapter of Pokémon Adventures , it possesses the ability to form its electricity into both platforms and barriers. As seen in the Pokémon Horizons: The Series episode The Future I Choose , it can cause interference with phone and internet signals. In An Unexpected Picnic! , a herd of Magneton produced an EMP that could destroy computer software. Despite its modern, artificial appearance, carvings depicting Magneton have been discovered at the Ruins of Alph . One was shown in the Pokémon Generations episode The Redemption in a flashback to the great war of Kalos , indicating it has existed for at least 3,000 years. Additionally, Sandy Shocks bears a strong resemblance to Magneton. It is believed to be an ancient Magneton that was alive 10,000 years ago. As mentioned in Pokémon Sleep , Magneton is known to sleep with its three linked Magnemite either stuck together or drifting apart by a strong magnetic force.It is theoried that its magnetism is unstable while Magneton sleeps.",Magneton evolves from Magnemite and evolves into Magnezone .
29,Nidoran♀,1,55,47,52,40,40,41,"Nidoran♀ is a small, quadrupedal, mammalian Pokémon . It has large, spiny ears, oversized front teeth, red eyes, and whiskers on each cheek. It is light blue with several darker blue spots. There are two white claws on each of its paws. Its back is covered with small toxic spines, and it has a small forehead horn. The poisons secreted by the spines and horn are extremely potent, and even a scratch from its horn or a drop of poison from its barbs can be deadly. However, this docile Pokémon only uses its poison when it feels threatened. Nidoran♀ is more sensitive to smell than Nidoran♂ . It can use its whiskers to check the wind while searching for berries or avoiding predators. Nidoran♀ can use its incisor teeth to crush the berries it forages for. Nidoran♀ lives in open spaces, such as savannas and plains . Nidoran♀ is a female-only species.","Nidoran♀ evolves into Nidorina , which evolves into Nidoqueen ."
63,Abra,1,25,20,15,105,55,90,"Abra is a bipedal mammalian Pokémon that is primarily yellow. Its face is kite-shaped with a small, pale yellow snout and two short, pointed ears with pale yellow interiors. Its wide eyes are normally closed. Abra's body is segmented with black skin visible between its joints and along its neck. It has two brown, pauldron -shaped extensions on its shoulders, as well as a brown, fauld -like piece around its chest. It has three digits on each hand and foot, but its fingers are considerably shorter than its toes. Two of its toes face forward and one faces backward. Its tail is thick and long, with a brown band located near the tip. Abra can sense danger through a telepathic radar. When it does, it teleports to a safe location. However, it sometimes becomes panicked if it wakes in an unknown location. By hypnotizing itself, Abra is able to teleport itself even while sleeping. It can use other extrasensory abilities while sleeping as well and can even teleport into the treetops to pick and eat Berries . The deeper Abra sleeps, the farther it teleports. Due to the strain of its telepathic powers, however, Abra sleeps 18 hours each day. If it fails to rest long enough, it will become unable to use its powers. The contents in Abra's dream can affect its powers. Abra lives in urban areas , but has been observed to teleport to a different location once per hour. If it teleports randomly, it can create illusory copies.","Abra evolves into Kadabra , which evolves into Alakazam ."
99,Kingler,1,55,130,115,50,50,75,"Kingler is a crustacean Pokémon resembling a crab . Its strong shell serves as a natural armor and covers the outside of its body, featuring a red upper half and a light tan lower half. Its upper half is topped with six tall, thin spikes that resemble a crown. Its light tan arms are also connected to its upper body. Its lower half doubles as its jaw with six fangs overlapping its upper body. Its two outer fangs are much larger than the inner four and are roughly half as tall as Kingler's entire body. Its hips visibly protrude from its lower body and connect to its four long, thin legs. Each leg has a single, claw-like foot. Kingler's main features are its orange pincers. Its left claw is roughly twice as large as the other and is as hard as steel. Kingler is often found on the edges of water , usually the ocean. Its powerful claws have 10,000 horsepower and are capable of prying open the shells of Shellder and Cloyster . While Kingler's large, left claw is its main tool for offensive maneuvers, it is so large and heavy that Kingler can barely lift it. It causes balancing problems and Kingler may quickly become fatigued from continuous use. However, it has been shown to communicate with other Kingler by waving its pincers around. Prior to Generation III , Kingler and its pre-evolved form, Krabby , were the only known Pokémon capable of learning the move Crabhammer .",Kingler evolves from Krabby .
65,Alakazam,1,55,50,45,135,85,120,"Alakazam is a slightly humanoid Pokémon with a large mustache. A female Alakazam has a significantly shorter mustache than a male. It has a long, thin snout, narrow eyes, ear-like spikes extending from the top of its head, and an additional spike protruding from each cheek. Covering its yellow, skeletal body are brown armor-like sections over its chest, shoulders, forearms, and knees. There are three toes on each foot, each of which has a white claw. Two of the toes face forward, while one faces backward. It wields a silver spoon in each hand, which act as amplifiers for its psychic abilities. The spoons are created using its psychic powers, and it may give one to someone it trusts. According to its Pokémon Ultra Moon Pokédex entry, anything eaten with the spoon becomes delicious. Alakazam is able to use all forms of psychic abilities. The overflow of its psychic powers can cause headaches to those nearby. These powers are used to move its body, as opposed to its weak muscles. It also uses its psychic powers to hold up its head, which is too heavy to be supported by its neck. Due to its continually growing brain, its head becomes larger with age. It is said to have an excellent memory and can remember everything that it has experienced since hatching as an Abra , to the time of its death, and has an IQ that exceeds 5,000. It is found in urban areas . Alakazam and its pre-evolved form, Kadabra , are the only known Pokémon capable of learning the move Kinesis .",Alakazam evolves from Kadabra and is the final form of Abra .
36,Clefable,1,95,70,73,85,90,60,"Clefable is a tall, pink Pokémon with a vaguely star-shaped body. It has long, pointed ears with dark brown tips and black, oval eyes with wrinkles on either side. A curled lock of fur hangs over its forehead, much like its long, tightly curled tail. On its back is a pair of dark pink wings; each wing has three points. Its hands have three fingers each, and its feet have two clawed toes and dark pink soles. Clefable is a timid, nocturnal creature that flees when it senses people approaching and is one of the world's rarest Pokémon. Its sensitive ears can distinctly hear a pin drop from half a mile to 1,100 yards away. Because of its acute hearing, it prefers to live in quiet, mountainous areas of which it is protective. It has also been seen at deserted lakes during a full moon. Using a bouncy gait, it can walk on water and sometimes appears to be flying using its small wings. In the Pokémon the Series episode Clefairy Tales , Clefable is depicted as an extraterrestrial Pokémon . According to one tradition, seeing a pair of Clefable ensures a happy marriage. Some scientists believe Clefable stares intently at the moon because it is homesick. There is also a legend to this, which tells of how it listens for the voices of its kind on the moon during clear and quiet nights. As mentioned in Pokémon Sleep , Clefable is known to sleep in remote places during quiet, moonlit nights. It is theorized that Clefable is dreaming about its friends and distant homeland during its peaceful slumber. Before Generation V , Clefable and its pre-evolved forms were the only known Pokémon that could have Magic Guard as an Ability .",Clefable evolves from Clefairy and is the final form of Cleffa .
130,Gyarados,1,95,125,79,60,100,81,"Gyarados is a piscine , draconic Pokémon with a long serpentine body covered in slightly overlapping scales. It is mostly blue with a yellow underbelly, and it has a row of yellow spots down each side. Its mouth is very large and gaping, bearing four pointed teeth and yellow lips. It has one pair of barbel and a small white fin on each side of its face. The barbels are white on a female and blue on a male. It has small, red eyes, a three-pointed, dark blue crest on its head, and four white, spiky dorsal fins . Gyarados's tail fin is similar in structure to the crest on its head, except with a thin, white fin spread between the points. The process of Evolution causes a change in its brain structure that is believed to cause its violent nature. Gyarados's fangs can crush stones and its scales are harder than steel. Gyarados is feared for its fierce temper and wanton destructive tendencies since ancient times. In some regions, Gyarados is called the ""deity of destruction"" because of this. It appears in times of conflict and destroys the surrounding area. Its rampages have been known to last a month at a time. These rampages can occur even during a harsh storm. A Gyarados's rage won't stop completely until everything is destroyed. Some believed any human settlement is fated to be destroyed should a Gyarados appear. Gyarados lives in both fresh and salty waters . Both Gyarados and its Mega form have demonstrated in Pokémon Chronicles and Pokémon the Series that it can leap huge distances both from the waterand from the ground, usually several times its own body length. However, Gyarados is rarely seen in the wild. The move Hyper Beam is often associated with Gyarados due to it being being powerful enough to instantly destroy everything it hits.",Gyarados evolves from Magikarp .
60,Poliwag,1,40,50,40,40,40,90,"Poliwag is an amphibian Pokémon resembling a blue, spherical tadpole . It has large eyes and pink lips that can also act as suction cups for rocks. Its skin is very thin, but flexible and difficult to puncture. There is a black and white swirl on its abdomen, which is actually its internal organs showing through its semitransparent skin. The swirl is clearer following a meal and will have a white tinge if the Pokémon is affected by disease. The direction of the belly spiral differs by area; the equator is thought to have an effect on it. Poliwag has newly developed legs that are poor at walking and no arms. It has a long, thin tail surrounded by a light-blue, semitransparent fin. Its tail makes it a powerful swimmer. It loves to waddle on land despite the dangers. However, it will quickly return back into the water should it see danger. It cannot walk on land well unless trained everyday. Because of its ineptitude on land, Poliwag is more likely to be found swimming in small freshwater ponds and lakes . In the Pokémon the Series episode The Stun Spore Detour , Poliwag is shown feeding on salveyo weed , which can only be found on clear lake bottoms.","Poliwag evolves into Poliwhirl , which evolves into either Poliwrath or Politoed ."
78,Rapidash,1,65,100,70,80,80,105,"Rapidash is an equine Pokémon with cream-colored fur and a pointed horn on its forehead. It has small, red eyes and triangular ears with reddish interiors. Yellow and reddish-orange flames stream from the back of its head to form a long, flowing mane. A short version of the mane trails down its back to its equally fiery tail. Flames are also present on its fetlocks . It has slender legs, each with a single black hoof. Rapidash is a very agile Pokémon. It runs at about 150 mph (240 km/h), chasing everything that moves in hopes of racing it. With incredible acceleration, it reaches its top speed in only ten steps. At full gallop, its hooves barely touch the ground. The faster Rapidash goes, the longer the swaying flames of its mane will become. At an all-out gallop, its blazing mane sparkles, a feature that is said to enhance its beautiful appearance. Rapidash is capable of traveling an entire region like Hisui within a day and a half. Rapidash lives in grasslands , but it can also be seen on mountains in Pokémon Snap .",Rapidash evolves from Ponyta .
68,Machamp,1,90,130,80,65,85,55,"Machamp is a humanoid Pokémon with four well-muscled arms. It has bluish-gray skin, red eyes, and large, pale, yellow lips. On its head, there are three brown ridges right above its eyes. It has two arms on each side of its body: a pair located in the normal position, and another pair directly above that attaches on the top of the shoulders. It has black markings that resemble briefsand wears a golden power-save belt that resembles a championship belt . Its legs have considerable muscle tone, and its feet have two toes each. Machamp are said to know every martial arts style in the world. It punches extremely quickly, throwing 500 punches a second. With only one hand, it can move a mountain. In Generation VII , Strength was its signature move. Because of its four arms, it can hit from a multitude of angles and pin all of its foe's limbs down at once. Its arms also allow it to attack and defend simultaneously. The four arms react much faster than Machamp can think. However, it has poor dexterity, and cannot handle delicate work without its arms becoming tangled. The belt it wears restricts its muscle activity, but it can cause consequences if removed. Being the result of an Evolution via trading , Machamp is rarely found in the wild, though they can be found in the mountains . In Alola , Machamp is used as a Ride Pokémon called Machamp Shove, where Machamp carries humans on its arms while moving large rocks out fo the way. In Generation II , Vital Throw was its signature move .",Machamp evolves from Machoke and is the final form of Machop .
127,Pinsir,1,65,125,100,55,70,85,"Pinsir is a bipedal, coleopteran insectoid Pokémon with a wide, dull-brown body divided into segments by thin lines. On top of its head is a large pair of gray, spiky pincers on top of its head. In its mouth are many long, flat teeth arranged horizontally, and it has triangular eyes. Capable of seeing color to some degree, Pinsir appears to be attracted to the color green. Its legs are short and thick, while its arms are long and thin. It has three claws on each hand and foot; two of its toes face forward and one backward. Pinsir can use its pincers to crush, toss, bludgeon, or tear opponents, lift things twice its weight, and shatter logs. Captured prey is kept in place by the piercing thorns and sheer strength of Pinsir's horns and will not be released until they are torn in half. Pinsir's horns are quite flexible as depicted in the Bandai Pokémon Carddass Cards where they have a wide range of motion. In addition to hunting prey, it's shown in the Pokémon the Series episode A Sappy Ending that it enjoys tree sap. Pinsir lives deep in the temperate forests and jungles , where it burrows underground or hides in the treetops on nights cold enough to render it immobile. In Pokémon Sleep , Pinsir burrows itself into the ground to sleep during cold nights but its pincers can be seen sticking out of the ground as it slumbers. In Alola , it has a rivalry with Vikavolt and gets along with Heracross . Pinsir are known to judge each other based on their pincers. The pincers determine its popularity with the opposite gender based on how more thick and impressive it looks.",
89,Muk,1,105,105,75,65,100,50,"Muk is a large, sticky, amorphous Pokémon made of living purple sludge. It has two small eyes with beady black pupils. It also has an enormous mouth with a gray tongue and strands of ooze connecting its top and bottom jaws. While it has no visible legs, it does have two arms with three fingers on each hand. However, it typically keeps one hand tucked in while it extends the other hand. Muk is a living biohazard, leaking toxins that instantly kill all plant life it touches. Even it being in close proximity to plants will cause them to wilt and die. Extreme caution is advised in avoiding any contact with this Pokémon, as an accidental brush-up can lead to severe sickness. The effects of this Pokémon can leave the landscape barren for three years. It will readily consume nearly any waste or refuse generated by people and Pokémon alike. Muk's body produces a powerful odor that can cause fainting. However, despite the risk Muk's stench contains, some fans of Muk believe its stench is a good thing. Muk can be found in heavily polluted bodies of water, factories and cities , where groups can gather to consume trash that people throw away into the streets. However, Muk's population has declined due to recent environmental improvements and extermination efforts. This has led some to believe that it will go extinct at some point; sludge ponds are being built to prevent its extinction.",Muk evolves from Grimer .
119,Seaking,1,80,92,65,65,80,68,"Seaking is a primarily orange-and-white, piscine Pokémon . It has round, dark eyes, prominent pink lips, two small fangs, and a cream-colored horn in the center of its forehead. A female Seaking has a smaller horn than a male. Most of its body is orange with a patch of white under its mouth and along its underside. There are several black markings on its body: two thick lines under each eye, a large wavy patch on its back, and several speckles near its tail. It has billowing pectoral fins and a pair of tail fins shaped like butterfly wings, all of which are white speckled with black. However, its dorsal fin is pure white and rigid. Seaking is a very powerful swimmer that is found in rivers and streams . It can swim not only against a river's current, but up waterfalls as well. In the autumn spawning season, it grows fatter and more vibrant. It travels upriver where male Seaking engage in elaborate dances to court females. The female will go for the male with the most graceful dance. Seaking uses its powerful horn to bore holes in riverbed boulders in order to shelter its eggs from water currents. A mated pair take turns patrolling around their new nest for roughly a month and defend it with their lives. There are two different groups of Pokémon Trainers who are obsessed with Seaking's horns or dorsal fins. However, they cannot get along with each other. In Generation I , Waterfall was Seaking's signature move .",Seaking evolves from Goldeen .
